Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude
Fairview Road Park,"10601 FAIRVIEW RD CHARLOTTE, NC 28227",Regional,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.17110229,-80.60516923
Stevens Creek Nature Preserve,"15700 THOMPSON RD MINT HILL, NC 28227",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.14729133,-80.64657409
David B. Waymer Recreation & Senior Center,"14008 HOLBROOKS RD HUNTERSVILLE, NC 28078",Recreation Center,Yes,https://www.huntersville.org/162/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.39905538,-80.83567993
Greene Street Park,"5612 GREENE ST CHARLOTTE, NC 28269",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.30837498,-80.8088525
Providence Nature Preserve,"2710 PEVERELL LN CHARLOTTE, NC 28270",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.09445484,-80.75624172
Hawthorne Recreation Center,"345 HAWTHORNE LN CHARLOTTE, NC 28204",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21455032,-80.82370326
McDowell Arts Center,"123 E MCDOWELL ST MATTHEWS, NC 28105",Arts Center,Yes,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.11438561,-80.72448488
Oak Hills Park,"4120 OAKDALE RD CHARLOTTE, NC 28216",Regional,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.32783378,-80.90875969
Hickory Grove Recreation Center,"6709 PENCE RD CHARLOTTE, NC 28215",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2256973,-80.71739136
Capps Park,"17501 MCKEE RD CHARLOTTE, NC 28278",Community,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.06303068,-81.0191831
Harrisburg Road Park,"7701 HARRISBURG RD CHARLOTTE, NC 28215",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,35.21996369,-80.68624422
Auten Nature Preserve,"5201 NECK RD HUNTERSVILLE, NC 28078",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3795315,-80.93741899
Teddington Park,"5517 FREEDOM DR CHARLOTTE, NC 28214",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.26721664,-80.93066523
Beaver Dam Historic Park and House,"19600 DAVIDSON-CONCORD RD DAVIDSON, NC 28036",Historic,Yes,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.47487085,-80.81799741
Merry Oaks Park,"1806 MERRY OAKS RD CHARLOTTE, NC 28205",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21902336,-80.78563775
Carolina Raptor Center,"6000 SAMPLE RD HUNTERSVILLE, NC 28216",Raptor Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.35172884,-80.92147243
Tuckaseegee Recreation Center,"4820 TUCKASEEGEE RD CHARLOTTE, NC 28208",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.24806972,-80.90678519
Iswa Nature Preserve,"9909 WILKINSON BV CHARLOTTE, NC 28214",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.24244096,-81.00131821
McAlpine Creek Park,"8711 MONROE RD CHARLOTTE, NC 28212",Regional,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,35.15034141,-80.74574818
Methodist Home Recreation Center,"3200 SHAMROCK DR CHARLOTTE, NC 28205",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.23486078,-80.77167743
Harrisburg Road Sportsplex,"8045 HARRISBURG RD CHARLOTTE, NC 28215",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.22370796,-80.68480384
Stevens Creek Nature Center,"15700 THOMPSON RD MINT HILL, NC 28227",Nature Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.14729133,-80.64657409
Ferrelltown Park & Preserve,"11355 ASBURY CHAPEL RD HUNTERSVILLE, NC 28078",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.38146039,-80.8100674
Sherman Branch Nature Preserve,"12501 ROCKY RIVER CHURCH RD MINT HILL, NC 28215",Nature Preserve,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.23770245,-80.63202552
Dorothy D. Waddy Pavilion,"3132 MANCHESTER DR CHARLOTTE, NC 28217",Pavilion,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.20585935,-80.88292073
Monroe Road Park,"5715 MONROE RD CHARLOTTE, NC 28212",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.18707068,-80.76684497
